               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11153,             0.01635,            0.076338,            0.003887,             0.32381,           0.0034458,          0.00055185,            0.072995,           0.0098502,            0.049887,              0.0982,              0.0002,              0.0002
                   1,             0.11031,             0.01866,            0.077142,           0.0046634,              0.3381,           0.0038099,          0.00057004,            0.070431,             0.01035,            0.049356,            0.095499,          0.00049901,          0.00049901
                   2,              0.1048,            0.019597,            0.073798,           0.0058327,             0.42857,           0.0071195,          0.00093015,            0.066227,            0.011191,            0.048471,            0.092797,          0.00079683,          0.00079683
                   3,            0.095535,            0.019311,            0.074059,           0.0089817,             0.66667,            0.018372,           0.0027722,            0.061144,            0.011943,             0.04737,            0.090093,           0.0010935,           0.0010935
                   4,             0.08768,            0.025872,            0.067124,            0.011622,                 0.8,            0.047578,           0.0064603,            0.057811,            0.012727,            0.045859,            0.087389,           0.0013889,           0.0013889
                   5,            0.080956,            0.023121,            0.062483,            0.011922,             0.85714,            0.052101,           0.0092079,            0.054989,            0.013119,            0.044609,            0.084683,           0.0016832,           0.0016832
                   6,            0.076052,            0.025003,            0.059135,            0.012577,             0.97619,            0.067322,            0.011836,            0.052011,            0.013184,            0.042991,            0.081976,           0.0019762,           0.0019762
                   7,            0.076878,            0.022864,            0.055913,            0.012314,                   1,            0.094867,            0.016729,            0.048342,            0.013921,            0.041389,            0.079268,           0.0022681,           0.0022681
                   8,            0.072231,            0.022688,            0.049962,            0.010601,                   1,             0.28117,            0.085977,            0.045396,            0.014051,            0.037163,            0.076559,           0.0025588,           0.0025588
                   9,            0.072117,            0.023218,             0.05156,            0.010238,                   1,             0.24702,            0.079877,            0.045066,            0.013459,            0.034438,            0.073848,           0.0028483,           0.0028483
                  10,            0.070869,            0.022845,             0.04768,            0.061215,                   1,             0.15727,             0.05225,            0.048832,             0.01172,            0.030456,            0.071137,           0.0031366,           0.0031366
                  11,            0.066357,            0.018419,            0.042659,             0.15461,             0.96667,             0.22672,            0.077806,            0.042796,            0.011675,            0.028856,            0.068424,           0.0034238,           0.0034238
                  12,            0.063661,            0.021408,            0.039296,             0.11869,             0.47435,             0.19489,            0.085874,            0.049876,            0.011018,            0.026769,             0.06571,           0.0037097,           0.0037097
                  13,            0.067545,            0.017982,            0.035215,            0.077047,             0.91905,            0.086531,            0.030405,            0.051056,            0.011495,            0.025753,            0.062994,           0.0039945,           0.0039945
                  14,            0.060557,             0.01943,            0.031818,             0.19266,             0.84286,             0.35144,             0.10938,            0.045066,            0.011553,            0.026056,            0.060278,            0.004278,            0.004278
                  15,            0.068157,            0.018715,             0.03673,             0.95345,                 0.5,             0.67631,             0.25652,            0.047642,            0.011237,            0.025939,             0.05756,           0.0045604,           0.0045604
                  16,            0.065029,             0.01786,            0.029741,             0.38667,               0.774,             0.64372,             0.15663,            0.047444,            0.011762,            0.026908,            0.054842,           0.0048416,           0.0048416
                  17,            0.065546,             0.01576,            0.029226,             0.26345,             0.57619,             0.35463,            0.089267,             0.05291,            0.011639,            0.026372,            0.052122,           0.0051216,           0.0051216
                  18,            0.064555,            0.014515,            0.033901,             0.27804,             0.85238,               0.285,             0.07876,            0.045754,            0.011714,            0.025151,              0.0494,           0.0054004,           0.0054004
                  19,            0.066764,            0.019092,            0.028494,             0.25777,             0.70476,             0.30652,            0.076007,            0.053933,            0.011352,            0.024887,            0.046678,            0.005678,            0.005678
                  20,            0.066401,            0.016556,            0.030727,             0.34308,             0.65238,             0.47993,              0.1361,            0.052483,            0.011459,            0.024471,            0.043954,           0.0059545,           0.0059545
                  21,            0.066212,            0.014743,            0.032031,             0.24032,             0.64286,             0.26865,             0.11913,            0.047307,            0.011353,            0.022991,             0.04123,           0.0062297,           0.0062297
                  22,             0.06408,            0.017943,             0.02794,             0.28335,             0.86667,             0.51959,             0.16348,            0.049792,             0.01092,            0.020775,            0.038504,           0.0065038,           0.0065038
                  23,            0.068499,            0.016391,            0.027587,             0.15964,                 0.5,             0.23247,            0.097728,            0.054594,            0.010915,             0.01895,            0.035777,           0.0067767,           0.0067767
                  24,            0.065378,            0.015461,            0.023906,             0.35452,             0.76667,             0.52988,             0.21093,            0.049241,            0.010212,             0.01775,            0.033048,           0.0070484,           0.0070484
                  25,              0.0653,             0.01511,            0.023694,              0.3753,             0.86667,             0.53469,             0.22654,             0.05196,           0.0090991,            0.015905,            0.030319,           0.0073188,           0.0073188
                  26,            0.068591,            0.015291,            0.024949,             0.53954,             0.83333,             0.79067,             0.40707,            0.049255,           0.0089999,             0.01365,            0.027588,           0.0075882,           0.0075882
                  27,            0.062742,            0.014655,            0.020392,             0.60358,             0.93333,             0.67027,             0.18014,            0.038026,           0.0094532,            0.013457,            0.024856,           0.0078563,           0.0078563
                  28,            0.066669,            0.016618,            0.022956,             0.60358,             0.93333,             0.67027,             0.18014,            0.038026,           0.0094532,            0.013457,            0.022123,           0.0081232,           0.0081232
                  29,            0.052643,            0.015206,            0.018822,             0.83418,             0.99888,             0.96735,             0.48929,            0.037506,           0.0091647,            0.011928,            0.019389,            0.008389,            0.008389
                  30,            0.065995,            0.013104,            0.021888,             0.43345,             0.94286,               0.535,             0.12445,            0.049842,           0.0090484,            0.010328,            0.016654,           0.0086535,           0.0086535
                  31,            0.081986,            0.014068,            0.019902,             0.55365,             0.95156,             0.72539,             0.27258,            0.044365,           0.0090411,             0.00921,            0.013917,           0.0089169,           0.0089169
                  32,             0.05659,            0.014548,            0.018253,             0.55365,             0.95156,             0.72539,             0.27258,            0.044365,           0.0090411,             0.00921,            0.011179,           0.0091791,           0.0091791
                  33,            0.060502,            0.016238,            0.016643,             0.89859,             0.96667,             0.96956,             0.44744,             0.04068,           0.0089324,           0.0083396,           0.0093466,           0.0093466,           0.0093466
                  34,            0.065578,            0.016494,            0.016397,              0.5863,             0.97619,             0.72106,             0.21056,            0.046573,           0.0087622,           0.0073215,           0.0093466,           0.0093466,           0.0093466
                  35,            0.068923,            0.012889,            0.015025,             0.49025,             0.96667,             0.64998,             0.39382,            0.050633,           0.0086327,           0.0064599,           0.0093268,           0.0093268,           0.0093268
                  36,            0.064993,              0.0133,            0.014855,             0.49025,             0.96667,             0.64998,             0.39382,            0.050633,           0.0086327,           0.0064599,            0.009307,            0.009307,            0.009307
                  37,            0.059772,            0.014113,            0.014848,             0.49518,             0.97264,             0.72186,              0.4497,            0.041172,           0.0086176,           0.0059293,           0.0092872,           0.0092872,           0.0092872
                  38,            0.062198,            0.013254,            0.013886,             0.42685,             0.96667,             0.67931,             0.40501,            0.044178,           0.0083079,            0.005623,           0.0092674,           0.0092674,           0.0092674
                  39,            0.066098,            0.011992,            0.013025,             0.36993,             0.93901,             0.50971,             0.16428,            0.051614,           0.0076035,           0.0053291,           0.0092476,           0.0092476,           0.0092476
                  40,             0.06914,            0.013199,            0.011204,             0.36993,             0.93901,             0.50971,             0.16428,            0.051614,           0.0076035,           0.0053291,           0.0092278,           0.0092278,           0.0092278
                  41,            0.060913,            0.012089,            0.011348,             0.60567,             0.86667,             0.79387,             0.37278,            0.040499,           0.0077063,           0.0052716,            0.009208,            0.009208,            0.009208
                  42,            0.061685,            0.014787,            0.011199,             0.54753,             0.84286,             0.71053,             0.33393,            0.051076,           0.0077289,            0.005105,           0.0091882,           0.0091882,           0.0091882
                  43,            0.071014,             0.01353,            0.011814,             0.40527,             0.97619,             0.51439,             0.21501,            0.044555,           0.0074072,           0.0054259,           0.0091684,           0.0091684,           0.0091684
                  44,            0.057465,             0.01343,            0.013673,             0.40527,             0.97619,             0.51439,             0.21501,            0.044555,           0.0074072,           0.0054259,           0.0091486,           0.0091486,           0.0091486
                  45,            0.058312,            0.014403,             0.01244,             0.63986,             0.88571,             0.81603,             0.37805,            0.037181,           0.0072982,           0.0053218,           0.0091288,           0.0091288,           0.0091288
                  46,            0.054773,            0.012405,            0.015067,             0.64212,             0.93192,             0.65158,             0.26528,            0.036002,           0.0072995,            0.005389,            0.009109,            0.009109,            0.009109
                  47,            0.059286,            0.013925,           0.0094253,             0.47633,             0.80952,             0.69559,             0.24388,             0.04504,           0.0070377,           0.0046133,           0.0090892,           0.0090892,           0.0090892
                  48,            0.060024,            0.014845,            0.013028,             0.47633,             0.80952,             0.69559,             0.24388,             0.04504,           0.0070377,           0.0046133,           0.0090694,           0.0090694,           0.0090694
